Year,Country of Residence,Month,Arrivals,Month_Num,Date
2008,ARGENTINA,January,60.0,1,2008-01-01
2008,AUSTRALIA,January,11218.0,1,2008-01-01
2008,AUSTRIA,January,1145.0,1,2008-01-01
2008,BAHRAIN,January,226.0,1,2008-01-01
2008,BANGLADESH,January,114.0,1,2008-01-01
2008,BELGIUM,January,688.0,1,2008-01-01
2008,BRAZIL,January,121.0,1,2008-01-01
2008,BRUNEI,January,136.0,1,2008-01-01
2008,CAMBODIA,January,113.0,1,2008-01-01
2008,CANADA,January,11017.0,1,2008-01-01
2008,CHINA,January,13691.0,1,2008-01-01
2008,COLOMBIA,January,44.0,1,2008-01-01
2008,DENMARK,January,1531.0,1,2008-01-01
2008,EGYPT,January,55.0,1,2008-01-01
2008,FINLAND,January,338.0,1,2008-01-01
2008,FRANCE,January,2365.0,1,2008-01-01
2008,GERMANY,January,5279.0,1,2008-01-01
2008,GREECE,January,145.0,1,2008-01-01
2008,GUAM,January,2598.0,1,2008-01-01
2008,INDIA,January,2709.0,1,2008-01-01
2008,INDONESIA,January,2224.0,1,2008-01-01
2008,IRAN,January,194.0,1,2008-01-01
2008,IRELAND,January,520.0,1,2008-01-01
2008,ISRAEL,January,450.0,1,2008-01-01
2008,ITALY,January,1637.0,1,2008-01-01
2008,JAPAN,January,34432.0,1,2008-01-01
2008,JORDAN,January,43.0,1,2008-01-01
2008,KOREA,January,69522.0,1,2008-01-01
2008,KUWAIT,January,276.0,1,2008-01-01
2008,LAOS,January,63.0,1,2008-01-01
2008,LUXEMBOURG,January,54.0,1,2008-01-01
2008,MALAYSIA,January,5086.0,1,2008-01-01
2008,MEXICO,January,133.0,1,2008-01-01
2008,MYANMAR,January,421.0,1,2008-01-01
2008,NEPAL,January,81.0,1,2008-01-01
2008,NETHERLANDS,January,1638.0,1,2008-01-01
2008,NEW ZEALAND,January,955.0,1,2008-01-01
2008,NIGERIA,January,83.0,1,2008-01-01
2008,NORWAY,January,1613.0,1,2008-01-01
2008,Others,January,10213.0,1,2008-01-01
2008,PAKISTAN,January,155.0,1,2008-01-01
2008,PAPUA NEW GUINEA,January,83.0,1,2008-01-01
2008,PERU,January,42.0,1,2008-01-01
2008,POLAND,January,251.0,1,2008-01-01
2008,PORTUGAL,January,74.0,1,2008-01-01
2008,RUSSIA,January,2172.0,1,2008-01-01
2008,SAUDI ARABIA,January,1068.0,1,2008-01-01
2008,SINGAPORE,January,7429.0,1,2008-01-01
2008,SOUTH AFRICA,January,235.0,1,2008-01-01
2008,SPAIN,January,1116.0,1,2008-01-01
2008,SRI LANKA,January,291.0,1,2008-01-01
2008,SWEDEN,January,1923.0,1,2008-01-01
2008,SWITZERLAND,January,1720.0,1,2008-01-01
2008,TAIWAN,January,9618.0,1,2008-01-01
2008,THAILAND,January,2727.0,1,2008-01-01
2008,UNITED ARAB EMIRATES,January,615.0,1,2008-01-01
2008,UNITED KINGDOM,January,7200.0,1,2008-01-01
2008,USA,January,58486.0,1,2008-01-01
2008,VENEZUELA,January,18.0,1,2008-01-01
2008,VIETNAM,January,884.0,1,2008-01-01
2008,ARGENTINA,February,41.0,2,2008-02-01
2008,AUSTRALIA,February,8861.0,2,2008-02-01
2008,AUSTRIA,February,1028.0,2,2008-02-01
2008,BAHRAIN,February,160.0,2,2008-02-01
2008,BANGLADESH,February,128.0,2,2008-02-01
2008,BELGIUM,February,665.0,2,2008-02-01
2008,BRAZIL,February,145.0,2,2008-02-01
2008,BRUNEI,February,216.0,2,2008-02-01
2008,CAMBODIA,February,83.0,2,2008-02-01
2008,CANADA,February,7963.0,2,2008-02-01
2008,CHINA,February,22446.0,2,2008-02-01
2008,COLOMBIA,February,23.0,2,2008-02-01
2008,DENMARK,February,1478.0,2,2008-02-01
2008,EGYPT,February,51.0,2,2008-02-01
2008,FINLAND,February,339.0,2,2008-02-01
2008,FRANCE,February,2251.0,2,2008-02-01
2008,GERMANY,February,5277.0,2,2008-02-01
2008,GREECE,February,136.0,2,2008-02-01
2008,GUAM,February,2817.0,2,2008-02-01
2008,INDIA,February,2266.0,2,2008-02-01
2008,INDONESIA,February,2054.0,2,2008-02-01
2008,IRAN,February,117.0,2,2008-02-01
2008,IRELAND,February,371.0,2,2008-02-01
2008,ISRAEL,February,427.0,2,2008-02-01
2008,ITALY,February,1307.0,2,2008-02-01
2008,JAPAN,February,31469.0,2,2008-02-01
2008,JORDAN,February,24.0,2,2008-02-01
2008,KOREA,February,56832.0,2,2008-02-01
2008,KUWAIT,February,269.0,2,2008-02-01
2008,LAOS,February,27.0,2,2008-02-01
2008,LUXEMBOURG,February,31.0,2,2008-02-01
2008,MALAYSIA,February,6065.0,2,2008-02-01
2008,MEXICO,February,102.0,2,2008-02-01
2008,MYANMAR,February,220.0,2,2008-02-01
2008,NEPAL,February,49.0,2,2008-02-01
2008,NETHERLANDS,February,1479.0,2,2008-02-01
2008,NEW ZEALAND,February,627.0,2,2008-02-01
2008,NIGERIA,February,55.0,2,2008-02-01
2008,NORWAY,February,1426.0,2,2008-02-01
2008,Others,February,16304.0,2,2008-02-01
2008,PAKISTAN,February,148.0,2,2008-02-01
2008,PAPUA NEW GUINEA,February,109.0,2,2008-02-01
2008,PERU,February,27.0,2,2008-02-01
2008,POLAND,February,253.0,2,2008-02-01
