Date,Arrivals,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2008-01-01,279338,False,False,False,False,True,False,False,False,False,False,False,False
2008-02-01,265827,False,False,False,True,False,False,False,False,False,False,False,False
2008-03-01,263862,False,False,False,False,False,False,False,True,False,False,False,False
2008-04-01,235895,True,False,False,False,False,False,False,False,False,False,False,False
2008-05-01,242822,False,False,False,False,False,False,False,False,True,False,False,False
2008-06-01,242879,False,False,False,False,False,False,True,False,False,False,False,False
2008-07-01,264314,False,False,False,False,False,True,False,False,False,False,False,False
2008-08-01,224764,False,True,False,False,False,False,False,False,False,False,False,False
2008-09-01,198522,False,False,False,False,False,False,False,False,False,False,False,True
2008-10-01,229755,False,False,False,False,False,False,False,False,False,False,True,False
2008-11-01,220025,False,False,False,False,False,False,False,False,False,True,False,False
2008-12-01,276132,False,False,True,False,False,False,False,False,False,False,False,False
2009-01-01,273467,False,False,False,False,True,False,False,False,False,False,False,False
2009-02-01,223010,False,False,False,True,False,False,False,False,False,False,False,False
2009-03-01,242253,False,False,False,False,False,False,False,True,False,False,False,False
2009-04-01,242035,True,False,False,False,False,False,False,False,False,False,False,False
2009-05-01,228545,False,False,False,False,False,False,False,False,True,False,False,False
2009-06-01,214811,False,False,False,False,False,False,True,False,False,False,False,False
2009-07-01,238523,False,False,False,False,False,True,False,False,False,False,False,False
2009-08-01,224317,False,True,False,False,False,False,False,False,False,False,False,False
2009-09-01,192967,False,False,False,False,False,False,False,False,False,False,False,True
2009-10-01,214569,False,False,False,False,False,False,False,False,False,False,True,False
2009-11-01,236920,False,False,False,False,False,False,False,False,False,True,False,False
2009-12-01,287761,False,False,True,False,False,False,False,False,False,False,False,False
2010-01-01,282217,False,False,False,False,True,False,False,False,False,False,False,False
2010-02-01,256569,False,False,False,True,False,False,False,False,False,False,False,False
2010-03-01,283110,False,False,False,False,False,False,False,True,False,False,False,False
2010-04-01,255808,True,False,False,False,False,False,False,False,False,False,False,False
2010-05-01,262456,False,False,False,False,False,False,False,False,True,False,False,False
2010-06-01,257017,False,False,False,False,False,False,True,False,False,False,False,False
2010-07-01,300519,False,False,False,False,False,True,False,False,False,False,False,False
2010-08-01,275285,False,True,False,False,False,False,False,False,False,False,False,False
2010-09-01,235250,False,False,False,False,False,False,False,False,False,False,False,True
2010-10-01,252829,False,False,False,False,False,False,False,False,False,False,True,False
2010-11-01,267815,False,False,False,False,False,False,False,False,False,True,False,False
2010-12-01,363151,False,False,True,False,False,False,False,False,False,False,False,False
2011-01-01,334307,False,False,False,False,True,False,False,False,False,False,False,False
2011-02-01,307110,False,False,False,True,False,False,False,False,False,False,False,False
2011-03-01,297213,False,False,False,False,False,False,False,True,False,False,False,False
2011-04-01,294992,True,False,False,False,False,False,False,False,False,False,False,False
2011-05-01,286044,False,False,False,False,False,False,False,False,True,False,False,False
2011-06-01,293753,False,False,False,False,False,False,True,False,False,False,False,False
2011-07-01,339000,False,False,False,False,False,True,False,False,False,False,False,False
2011-08-01,308934,False,True,False,False,False,False,False,False,False,False,False,False
2011-09-01,274000,False,False,False,False,False,False,False,False,False,False,False,True
2011-10-01,286014,False,False,False,False,False,False,False,False,False,False,True,False
2011-11-01,325198,False,False,False,False,False,False,False,False,False,True,False,False
2011-12-01,363737,False,False,True,False,False,False,False,False,False,False,False,False
2012-01-01,395533,False,False,False,False,True,False,False,False,False,False,False,False
2012-02-01,349168,False,False,False,True,False,False,False,False,False,False,False,False
2012-03-01,349967,False,False,False,False,False,False,False,True,False,False,False,False
2012-04-01,328109,True,False,False,False,False,False,False,False,False,False,False,False
2012-05-01,303190,False,False,False,False,False,False,False,False,True,False,False,False
2012-06-01,306836,False,False,False,False,False,False,True,False,False,False,False,False
2012-07-01,353766,False,False,False,False,False,True,False,False,False,False,False,False
2012-08-01,322863,False,True,False,False,False,False,False,False,False,False,False,False
2012-09-01,281492,False,False,False,False,False,False,False,False,False,False,False,True
2012-10-01,315656,False,False,False,False,False,False,False,False,False,False,True,False
2012-11-01,339381,False,False,False,False,False,False,False,False,False,True,False,False
2012-12-01,410907,False,False,True,False,False,False,False,False,False,False,False,False
2013-01-01,420209,False,False,False,False,True,False,False,False,False,False,False,False
2013-02-01,405808,False,False,False,True,False,False,False,False,False,False,False,False
2013-03-01,391751,False,False,False,False,False,False,False,True,False,False,False,False
