ds,y
2008-01-01,279338.0
2008-02-01,265827.0
2008-03-01,263862.0
2008-04-01,235895.0
2008-05-01,242822.0
2008-06-01,242879.0
2008-07-01,264314.0
2008-08-01,224764.0
2008-09-01,198522.0
2008-10-01,229755.0
2008-11-01,220025.0
2008-12-01,276132.0
2009-01-01,273467.0
2009-02-01,223010.0
2009-03-01,242253.0
2009-04-01,242035.0
2009-05-01,228545.0
2009-06-01,214811.0
2009-07-01,238523.0
2009-08-01,224317.0
2009-09-01,192967.0
2009-10-01,214569.0
2009-11-01,236920.0
2009-12-01,287761.0
2010-01-01,282217.0
2010-02-01,256569.0
2010-03-01,283110.0
2010-04-01,255808.0
2010-05-01,262456.0
2010-06-01,257017.0
2010-07-01,300519.0
2010-08-01,275285.0
2010-09-01,235250.0
2010-10-01,252829.0
2010-11-01,267815.0
2010-12-01,363151.0
2011-01-01,334307.0
2011-02-01,307110.0
2011-03-01,297213.0
2011-04-01,294992.0
2011-05-01,286044.0
2011-06-01,293753.0
2011-07-01,339000.0
2011-08-01,308934.0
2011-09-01,274000.0
2011-10-01,286014.0
2011-11-01,325198.0
2011-12-01,363737.0
2012-01-01,395533.0
2012-02-01,349168.0
2012-03-01,349967.0
2012-04-01,328109.0
2012-05-01,303190.0
2012-06-01,306836.0
2012-07-01,353766.0
2012-08-01,322863.0
2012-09-01,281492.0
2012-10-01,315656.0
2012-11-01,339381.0
2012-12-01,410907.0
2013-01-01,420209.0
2013-02-01,405808.0
2013-03-01,391751.0
2013-04-01,357175.0
2013-05-01,344083.0
2013-06-01,352538.0
2013-07-01,396904.0
2013-08-01,368136.0
2013-09-01,318383.0
2013-10-01,345824.0
2013-11-01,350076.0
2013-12-01,426808.0
2014-01-01,445593.0
2014-02-01,411218.0
2014-03-01,400466.0
2014-04-01,366428.0
2014-05-01,346804.0
2014-06-01,356831.0
2014-07-01,406027.0
2014-08-01,391511.0
2014-09-01,318672.0
2014-10-01,344357.0
2014-11-01,378190.0
2014-12-01,459367.0
2015-01-01,462886.0
2015-02-01,443996.0
2015-03-01,431210.0
2015-04-01,403554.0
2015-05-01,396131.0
2015-06-01,374761.0
2015-07-01,467592.0
2015-08-01,465936.0
2015-09-01,383156.0
2015-10-01,397267.0
2015-11-01,399475.0
2015-12-01,522855.0
2016-01-01,525832.0
2016-02-01,537194.0
2016-03-01,485892.0
2016-04-01,452396.0
2016-05-01,427934.0
2016-06-01,444043.0
2016-07-01,541298.0
2016-08-01,490190.0
2016-09-01,414202.0
2016-10-01,432157.0
2016-11-01,472258.0
2016-12-01,553186.0
2017-01-01,620121.0
2017-02-01,569361.0
2017-03-01,556906.0
2017-04-01,551497.0
2017-05-01,520780.0
2017-06-01,462729.0
2017-07-01,551638.0
2017-08-01,535076.0
2017-09-01,472766.0
2017-10-01,513638.0
2017-11-01,522723.0
2017-12-01,603062.0
2018-01-01,724586.0
2018-02-01,669640.0
2018-03-01,635485.0
2018-04-01,583996.0
2018-05-01,531175.0
2018-06-01,524765.0
2018-07-01,602112.0
2018-08-01,546785.0
2018-09-01,514174.0
2018-10-01,518920.0
2018-11-01,559468.0
2018-12-01,685488.0
2019-01-01,718118.0
2019-02-01,762437.0
2019-03-01,709399.0
2019-04-01,653336.0
2019-05-01,612861.0
2019-06-01,638440.0
2019-07-01,712285.0
2019-08-01,699933.0
2019-09-01,604552.0
2019-10-01,634786.0
2019-11-01,679273.0
2019-12-01,763057.0
2020-01-01,782132.0
2020-02-01,439852.0
2020-03-01,127721.0
2020-04-01,927.0
2020-05-01,357.0
2020-06-01,1186.0
2020-07-01,3380.0
2020-08-01,5364.0
2020-09-01,6410.0
2020-10-01,8304.0
2020-11-01,9069.0
2020-12-01,13753.0
2021-01-01,6109.0
2021-02-01,9005.0
2021-03-01,10446.0
2021-04-01,5098.0
2021-05-01,9153.0
2021-06-01,10281.0
2021-07-01,11794.0
2021-08-01,13132.0
2021-09-01,13891.0
2021-10-01,15656.0
2021-11-01,18836.0
2021-12-01,22697.0
2022-01-01,24501.5
2022-02-01,26306.0
2022-03-01,69635.0
2022-04-01,115514.0
2022-05-01,124933.0
2022-06-01,153497.0
2022-07-01,232315.0
2022-08-01,218048.0
2022-09-01,207219.0
2022-10-01,227669.0
2022-11-01,275904.0
2022-12-01,374345.0
2023-01-01,425188.0
2023-02-01,431695.0
2023-03-01,436292.0
2023-04-01,417320.0
2023-05-01,353093.0
2023-06-01,407210.0
2023-07-01,467919.0
2023-08-01,404029.0
2023-09-01,356300.0
2023-10-01,378123.0
2023-11-01,411890.0
2023-12-01,514416.0
2024-01-01,542066.0
2024-02-01,551217.0
2024-03-01,474943.0
2024-04-01,429516.0
2024-05-01,402336.0
2024-06-01,408637.0
2024-07-01,468016.0
2024-08-01,428537.0
2024-09-01,377003.0
2024-10-01,403017.0
2024-11-01,433130.0
2024-12-01,520549.0
2025-01-01,578224.0
2025-02-01,505178.0
2025-03-01,446917.0
2025-04-01,403438.0
